 klimnr period   jan    feb    mar    apr    maj    jun    jul    aug    sep    okt    nov    dec   year
  18285  6190   27.8   23.6   24.1   25.0   30.5   45.9   67.7   74.5   49.3   46.6   38.3   31.2  484.5
  18289  6190   31.3   25.4   26.7   26.5   31.9   48.7   71.9   71.9   52.5   54.3   44.8   35.6  521.5
  18291  6190   24.5   20.2   21.0   20.5   25.1   39.9   58.8   57.7   41.4   39.9   34.1   27.0  410.0
  18292  6190   28.7   23.3   24.0   24.5   28.9   48.2   68.3   69.1   51.2   46.2   38.7   31.1  482.2
  18293  6190   31.0   26.4   27.0   25.0   32.6   50.2   79.1   78.8   51.8   46.9   43.6   33.3  526.6
  18376  6190   31.7   26.1   29.5   31.4   35.8   54.8   70.8   74.3   58.3   52.3   46.2   33.2  544.4
  18381  6190   32.4   25.3   26.3   30.0   30.9   50.5   66.3   69.2   50.0   48.0   43.8   30.8  503.3
  18392  6190   32.9   26.4   27.0   24.0   28.1   50.9   65.4   67.1   51.4   52.1   42.7   34.7  502.7
  18398  6190   30.7   23.8   27.3   26.3   34.3   52.8   73.5   78.3   55.6   51.1   42.3   31.7  527.7
  18868  6190   61.5   51.9   39.9   32.8   30.8   53.0  112.2   95.9   58.9   74.6   56.5   62.7  730.6
  18880  6190   24.7   18.7   15.3   12.0   13.2   22.2   53.7   44.6   23.3   27.7   22.4   25.9  303.7
  18882  6190   77.8   66.1   50.6   45.9   40.6   55.1   76.3   84.4   83.4  108.7   75.3   79.6  843.7
  18883  6190   87.3   75.0   57.5   53.1   49.1   69.4  102.5  106.3  100.3  126.7   86.4   92.0 1005.5
  18972  6190   25.8   21.0   21.7   21.4   25.0   37.4   66.1   58.1   39.2   39.2   33.4   28.2  416.4
  18974  6190   24.4   20.7   20.6   22.0   26.2   37.5   67.5   65.0   41.5   39.1   32.9   26.8  424.2
  18976  6190   25.9   23.4   22.7   25.2   33.9   44.1   82.1   62.6   45.3   48.9   34.1   28.2  475.9
  18978  6190   24.7   22.6   20.1   20.1   26.1   37.5   69.5   62.9   41.2   40.3   31.8   27.1  423.8
  19097  6190   28.3   25.3   20.8   17.3   21.4   32.6   65.2   47.5   32.0   33.1   30.9   27.6  382.0
  19173  6190   23.7   20.7   21.6   20.2   27.8   48.8   72.2   63.4   44.8   40.0   33.7   25.2  444.0
  19190  6190   22.6   17.9   18.7   17.9   26.5   41.4   80.6   68.5   45.1   37.9   29.6   21.8  428.6
  19191  6190   22.8   19.1   20.0   19.7   24.1   37.1   60.7   55.1   38.3   37.8   31.4   24.7  390.9
  19196  6190   20.4   16.9   17.4   16.9   20.6   31.9   53.3   47.9   32.8   33.1   27.0   22.3  340.6
  19271  6190   27.8   24.9   24.4   24.0   30.3   54.3   80.7   69.7   48.6   47.6   40.9   29.2  502.5
  19276  6190   25.6   21.9   24.5   26.8   33.5   45.9   77.1   69.3   46.7   45.4   38.4   27.8  483.0
  19283  6190   23.3   19.3   21.6   22.2   24.6   40.4   71.7   56.7   40.3   39.4   31.9   24.3  415.8
  19373  6190   28.8   23.3   24.4   23.7   30.0   40.4   68.2   66.1   47.7   49.1   38.3   32.9  472.7
