Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
85040;Malexander;58.0729;15.2352;195;Nej
85050;Malexander A;58.0716;15.233;197.27;Ja
149230;Malkälen D;64.3918;19.6903;235;Ja
122370;Malmagen;62.6094;12.1605;785;Ja
180750;Malmberget;67.1681;20.6389;400;Ja
74360;Malmbäck D;57.5985;14.5206;350;Ja
85240;Malmslätt;58.4004;15.5327;93;Ja
53360;Malmö;55.5726;13.0776;20;Ja
53370;Malmö 2;55.6048;12.9841;3;Nej
52350;Malmö A;55.5715;13.0708;19.757;Ja
103410;Malung;60.6717;13.7058;310;Nej
103420;Malung A;60.6765;13.7072;302.583;Ja
103400;Malungsfors;60.7238;13.5369;325;Ja
158750;Malå;65.1812;18.7421;308.635;Ja
158740;Malå-Brännan A;65.1512;18.5935;363.111;Ja
134070;Marby D;63.1205;14.2926;328.15;Ja
63410;Marbäck D;56.7045;13.0329;54.854;Ja
83290;Mariedal;58.4833;13.4;100;Nej
62090;Mariedal;56.1443;12.7112;10;Nej
85520;Mariedamm;58.8509;15.164;132;Nej
97170;Mariefred;59.281;17.2541;6.936;Ja
65130;Marielund;56.2182;15.5331;25;Nej
83440;Mariestad;58.7136;13.823;50;Ja
63280;Markaryd;56.4577;13.6159;113.846;Ja
172920;Markusvinsa;66.7259;22.894;163.362;Ja
155720;Marsliden;65.0251;15.3668;550;Nej
86330;Marviken;58.5491;16.8157;10;Nej
133180;Mattmar V;63.3054;13.8767;360;Nej
93080;Medhamn;59.1333;13.9833;54;Nej
122270;Medskogen;62.443;12.9673;655;Ja
132320;Medstugan;63.5255;12.4008;547.717;Nej
138260;Mellansel;63.4333;18.35;60;Nej
181720;Mettä-Dokkas;67.0676;21.2885;270;Nej
166910;Mierkenis A;66.6802;16.1053;613.982;Ja
166900;Mierkenis Aut;66.6798;16.1137;600;Nej
105270;Milsbo D;60.4471;15.6284;130;Nej
102050;Mitandersfors D;60.0854;12.5198;220;Nej
65270;Mjuamåla;56.4405;15.3205;130;Nej
73110;Mjöhult;57.1858;13.1854;155;Nej
85710;Mjölby;58.3333;15.15;115;Nej
164730;Mjölkbäcken;66.102;14.8465;535.608;Ja
133510;Mjölkvattnet;63.85;13.3797;545;Nej
81650;Mo;58.7;11.55;60;Nej
104300;Mockfjärd D;60.5082;14.959;190;Nej
136220;Moforsen;63.3683;16.9912;70;Nej
74000;Moheda D;57.0064;14.5712;155;Ja
93360;Molkom;59.6166;13.75;93;Nej
73570;Molla;57.936;13.0668;190;Nej
72530;Mollsjönäs D;57.8634;12.1373;94.68;Ja
104580;Mora A;60.9601;14.5041;195.417;Ja
172720;Morjärv;66.0728;22.751;40;Nej
